EngNames	Lat	Lon	Language	Group	Family	color	evidentiality
Arsug	41.86408	47.65011	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Bedyuk	41.716044	47.525715	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Burkikhan	41.806356	47.538467	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Burshag	41.89626	47.64102	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Gelinbatan	41.94722	48.16722	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Goa	41.753585	47.703213	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Duldug	41.76833	47.67438	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Kurag	41.836764	47.661351	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Misi	41.80991	47.60329	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Richa	41.763646	47.502769	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Tpig	41.780423	47.589523	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Fite	41.79161	47.73998	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Khudig	41.85373	47.65854	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Khutkhul	41.78517	47.61451	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Tsirkhe	41.91513	47.59679	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Yarkug	41.79814	47.68435	Aghul	Lezgic	Nakh-Daghestanian	green	NA
Akhvakh-Dere	41.660912	46.652713	Akhvakh	Andic	Nakh-Daghestanian	gold2	NA
Izano	42.52735	46.40389	Akhvakh	Andic	Nakh-Daghestanian	gold2	NA
Kamyshkutan	43.500222	46.621832	Akhvakh	Andic	Nakh-Daghestanian	gold2	NA
Kvankero	42.55244	46.3404	Akhvakh	Andic	Nakh-Daghestanian	gold2	NA
Kudiyabroso	42.541069	46.377932	Akhvakh	Andic	Nakh-Daghestanian	gold2	NA
Lologonitl'	42.51398	46.33093	Akhvakh	Andic	Nakh-Daghestanian	gold2	NA
Tad-Magitl'	42.550266	46.348953	Akhvakh	Andic	Nakh-Daghestanian	gold2	NA
Tsvakilkolo	42.55213	46.35351	Akhvakh	Andic	Nakh-Daghestanian	gold2	NA
Aytkhan	43.69773	46.82498	Andi	Andic	Nakh-Daghestanian	orange3	NA
Andi	42.7856	46.2639	Andi	Andic	Nakh-Daghestanian	orange3	NA
Ashali	42.76963	46.30878	Andi	Andic	Nakh-Daghestanian	orange3	NA
Gagatli	42.800361	46.292645	Andi	Andic	Nakh-Daghestanian	orange3	NA
Gunkha	42.78968	46.28275	Andi	Andic	Nakh-Daghestanian	orange3	NA
Dzhugut	43.70835	46.86498	Andi	Andic	Nakh-Daghestanian	orange3	NA
Zilo	42.731394	46.319223	Andi	Andic	Nakh-Daghestanian	orange3	NA
Kvankhidatli	42.65789	46.271742	Andi	Andic	Nakh-Daghestanian	orange3	NA
Mekheturi	42.70556	46.2375	Andi	Andic	Nakh-Daghestanian	orange3	NA
Muni	42.680242	46.308874	Andi	Andic	Nakh-Daghestanian	orange3	NA
Novogagatli	43.4561	46.4819	Andi	Andic	Nakh-Daghestanian	orange3	NA
Rikvani	42.782304	46.319372	Andi	Andic	Nakh-Daghestanian	orange3	NA
Rushukha	42.71509	46.28112	Andi	Andic	Nakh-Daghestanian	orange3	NA
Khando	42.72694	46.23361	Andi	Andic	Nakh-Daghestanian	orange3	NA
